DATA,TEMPERATURA
"Oct 19, 2017",
"Oct 20, 2017",
"Oct 21, 2017",
"Oct 22, 2017",
"Oct 23, 2017","23,863"
"Oct 24, 2017","18,65"
"Oct 25, 2017","30,47"
"Oct 26, 2017",
"Oct 27, 2017","27,029"
"Oct 28, 2017",
"Oct 29, 2017","31,63"
"Oct 30, 2017",
"Oct 31, 2017","27,08"
"Nov 1, 2017","31,03"
"Nov 2, 2017","23,83"
"Nov 3, 2017","34,908"
"Nov 4, 2017",
"Nov 5, 2017","24,91"
"Nov 6, 2017",
"Nov 7, 2017",
"Nov 8, 2017",
"Nov 9, 2017",
"Nov 10, 2017",
"Nov 11, 2017","26,95"
"Nov 12, 2017","35,146"
"Nov 13, 2017","35,292"
"Nov 14, 2017","33,585"
"Nov 15, 2017","36,602"
"Nov 16, 2017","34,088"
"Nov 17, 2017","30,853"
"Nov 18, 2017",
"Nov 19, 2017","28,527"
"Nov 20, 2017","28,39"
"Nov 21, 2017","32,163"
"Nov 22, 2017","29,53"
"Nov 23, 2017","33,031"
"Nov 24, 2017","35,525"
"Nov 25, 2017",
"Nov 26, 2017","26,7"
"Nov 27, 2017","22,29"
"Nov 28, 2017","31,02"
"Nov 29, 2017","29,42"
"Nov 30, 2017",
"Dec 1, 2017","27,55"
"Dec 2, 2017","28,2"
"Dec 3, 2017","35,132"
"Dec 4, 2017",
"Dec 5, 2017",
"Dec 6, 2017",
"Dec 7, 2017",
"Dec 8, 2017","28,405"
"Dec 9, 2017","34,084"
"Dec 10, 2017","27,87"
"Dec 11, 2017","33,707"
"Dec 12, 2017","35,03"
"Dec 13, 2017","30,148"
"Dec 14, 2017","36,762"
"Dec 15, 2017","34,524"
"Dec 16, 2017","36,15"
"Dec 17, 2017","37,69"
"Dec 18, 2017",
"Dec 19, 2017","34,279"
"Dec 20, 2017",
"Dec 21, 2017",
"Dec 22, 2017",
"Dec 23, 2017",
"Dec 24, 2017",
"Dec 25, 2017",
"Dec 26, 2017",
"Dec 27, 2017",
"Dec 28, 2017",
"Dec 29, 2017",
"Dec 30, 2017",
"Dec 31, 2017","27,79"
