DATA,TEMPERATURA
"Dec 1, 2018","26,83"
"Dec 2, 2018",
"Dec 3, 2018","34,358"
"Dec 4, 2018","35,677"
"Dec 5, 2018","37,028"
"Dec 6, 2018","40,565"
"Dec 7, 2018",
"Dec 8, 2018","36,17"
"Dec 9, 2018","34,473"
"Dec 10, 2018","41,184"
"Dec 11, 2018","37,933"
"Dec 12, 2018","39,446"
"Dec 13, 2018","38,317"
"Dec 14, 2018","36,139"
"Dec 15, 2018","39,71"
"Dec 16, 2018",
"Dec 17, 2018","42,318"
"Dec 18, 2018","38,187"
"Dec 19, 2018","34,023"
"Dec 20, 2018","38,426"
"Dec 21, 2018","36,41"
"Dec 22, 2018","29,77"
"Dec 23, 2018",
"Dec 24, 2018",
"Dec 25, 2018",
"Dec 26, 2018","30,53"
"Dec 27, 2018","31,43"
"Dec 28, 2018","25,426"
"Dec 29, 2018","31,079"
"Dec 30, 2018",
"Dec 31, 2018","32,092"
